completion_id,assessment_id,student_id,score,attempts
1,4,12,70,1
2,2,12,66,2
3,5,12,73,2
4,1,15,76,3
5,3,15,74,1
6,2,15,98,1
7,5,15,88,3
8,3,8,79,1
9,1,8,70,1
10,2,8,85,3
11,4,8,99,2
12,3,7,74,1
13,5,7,96,1
14,2,7,89,1
15,1,2,78,2
16,3,2,88,3
17,4,2,92,1
18,2,2,73,2
19,5,2,71,2
20,2,18,82,3
21,3,18,61,1
22,4,18,91,1
23,5,18,74,1
24,1,18,92,1
25,5,1,70,3
26,3,1,92,3
27,1,1,89,2
28,2,1,81,1
29,4,1,94,3
30,1,4,75,2
31,5,4,76,3
32,4,4,60,2
33,2,4,86,1
34,3,4,60,3
35,4,13,76,2
36,5,13,98,3
37,1,13,67,3
38,2,13,96,1
39,3,13,99,3
40,5,19,79,3
41,2,19,84,3
42,1,19,94,1
43,4,19,68,1
44,3,19,78,1
45,1,11,71,1
46,2,11,81,3
47,3,11,69,1
48,4,11,85,2
49,5,11,63,1
50,4,10,98,2
51,3,10,68,3
52,5,10,85,1
53,2,10,66,2
54,1,10,80,1
55,5,17,72,3
56,2,17,85,3
57,3,17,90,2
58,1,17,69,1
59,4,17,88,1
60,4,9,79,2
61,2,9,83,3
62,1,9,98,1
63,5,9,85,3
64,3,9,94,2
65,1,5,81,1
66,3,5,88,1
67,2,5,91,1
68,4,5,88,2
69,5,5,84,3
70,2,6,64,1
71,4,6,61,1
72,3,6,93,1
73,1,6,63,1
74,5,6,70,3
